OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
289259642,509,7th St & Massachusetts Ave NE,31647,38.89222,-76.99602,YES,NO,,,NO,12,6,400345.2782,136041.6672,,DC
289259643,510,Anacostia Park,31820,38.87335,-76.9834,YES,NO,,,NO,6,13,401440.4861,133947.0758,,DC
289259644,511,Twinbrook Metro,32074,39.062041,-77.120776,YES,NO,,,NO,9,5,389547.2246,154900.351,,
289259645,512,White Flint Metro,32075,39.04753,-77.11287,YES,NO,,,NO,4,21,390229.4715,153288.5887,,
289259646,513,Citadel Ave & McGrath Blvd,32076,39.049,-77.10933,YES,NO,,,NO,12,2,390536.1049,153451.4024,,
289259647,514,Rockville Pike & Old Georgetown Rd,32077,39.049765,-77.11368,YES,NO,,,NO,9,6,390159.6633,153536.7859,,
289259648,515,Woodglen Dr & Executive Blvd,32078,39.04317,-77.1135,YES,NO,,,NO,12,4,390174.3341,152804.6476,,
289259649,516,Executive Blvd & E Jefferson St,32079,39.04873,-77.1257,YES,NO,,,NO,7,8,389119.0338,153423.2534,,
289259650,517,Fishers Ln & Rock Creek Mill Rd,32080,39.0629,-77.113454,YES,NO,,,NO,6,9,390181.0384,154994.897,,
289259651,518,Congressional Ln & E Jefferson St,32081,39.06219,-77.129235,YES,NO,,,NO,9,6,388815.1492,154917.8942,,
289259652,519,Garland Ave & Walden Rd,32082,39.00048,-77.00077,YES,NO,,,NO,12,3,399933.3013,148059.4933,,
289259653,520,Greensboro & Pinnacle Dr,32227,38.92245,-77.23034,YES,NO,,,NO,5,8,380025.7276,139422.6362,,
289259654,521,1301 McCormick Dr / Wayne K. Curry Admin Bldg,32400,38.908391,-76.843263,YES,NO,,,NO,13,2,413594.3672,137848.4408,,
289259655,522,Largo Town Center Metro,32401,38.899811,-76.844604,YES,NO,,,NO,5,11,413479.6788,136895.7939,,
289259656,523,Baltimore Ave & Van Buren St / Riverdale Park Station,32402,38.969581,-76.937349,YES,NO,,,NO,13,3,405429.2884,144631.2633,,
289259657,524,Baltimore Ave & Jefferson St,32403,38.95548,-76.940133,YES,NO,,,NO,8,7,405189.0557,143065.7593,,
